retired_book_id	reason
devotion_path__sai_ma__corporate_managers__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__corporate_managers__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__corporate_managers__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__corporate_managers__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__corporate_managers__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__corporate_managers__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__entrepreneurs__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__first_responders__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_alpha_students__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__courage__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__courage__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__gen_z_student__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__tech_finance_burnout__imposter_syndrome__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__burnout__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__burnout__spiral	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__courage__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__imposter_syndrome__false_alarm	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__imposter_syndrome__overwhelm	engine_illegal_or_repointed_away
devotion_path__sai_ma__working_parents__imposter_syndrome__spiral	engine_illegal_or_repointed_away
