retired_book_id	reason
solar_return__ra__corporate_managers__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__corporate_managers__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__corporate_managers__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__corporate_managers__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__entrepreneurs__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__entrepreneurs__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__entrepreneurs__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__entrepreneurs__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__first_responders__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__first_responders__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__first_responders__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__first_responders__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_alpha_students__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_alpha_students__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_alpha_students__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__gen_alpha_students__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_x_sandwich__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_x_sandwich__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_x_sandwich__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__gen_x_sandwich__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_professionals__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_professionals__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_professionals__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__gen_z_professionals__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__courage__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__courage__spiral	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__depression__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__financial_anxiety__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__gen_z_student__financial_anxiety__spiral	engine_illegal_or_repointed_away
solar_return__ra__healthcare_rns__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__healthcare_rns__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__healthcare_rns__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__healthcare_rns__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__millennial_women_professionals__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__millennial_women_professionals__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__millennial_women_professionals__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__millennial_women_professionals__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__tech_finance_burnout__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__tech_finance_burnout__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__tech_finance_burnout__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__tech_finance_burnout__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__working_parents__courage__overwhelm	engine_illegal_or_repointed_away
solar_return__ra__working_parents__depression__false_alarm	engine_illegal_or_repointed_away
solar_return__ra__working_parents__depression__spiral	engine_illegal_or_repointed_away
solar_return__ra__working_parents__financial_anxiety__false_alarm	engine_illegal_or_repointed_away
