map_id	subsystem_layer	path	status	action	enforcement_now	authority_source	exact_note
BUBBLE-001	lettering_runtime	phoenix_v4/manga/chapter/bubble_render_v2.py	partial	tighten	partial_machine	specs/LETTERING_AGENT_SPEC.md §3 Pass A	LIVE panel-first stamp + coverage shrink; missing multi-candidate scoring and Pass B hook.
BUBBLE-002	lettering_config	config/manga/genre_bubble_styles.yaml	aligned	keep	config_authority	specs/LETTERING_AGENT_SPEC.md §2; genre_bubble_styles.yaml header	Override→genre-default→intensity precedence already matches D3 for bubbles; keep as resting bias only.
BUBBLE-003	lettering_fonts	fonts/manga/FONT_REGISTRY.yaml	aligned	keep	config_authority	specs/LETTERING_AGENT_SPEC.md §7.1	Registry-driven locale font roles are LIVE foundation for JLREQ work.
BUBBLE-004	lettering_semantics	phoenix_v4/manga/chapter/lettering_from_script.py	partial	rewire	none	specs/LETTERING_AGENT_SPEC.md §5	Intensity maps fuse semantics into appearance; rewire toward utterance_type then style register. Producer: lettering_from_script; consumer: bubble_render_v2.
BUBBLE-005	lettering_pass_b	phoenix_v4/manga/chapter/bubble_page_validate.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §3.3; specs/MANGA_LAYOUT_AGENT_SPEC.md §3.2	Page-aware bubble validate/reflow module absent; Layout hosts after compose.
BUBBLE-006	lettering_candidates	phoenix_v4/manga/chapter/bubble_candidate_solver.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §3.2	Multi-candidate Pass A scorer not present.
BUBBLE-007	lettering_spec_doc	specs/LETTERING_AGENT_SPEC.md	partial	tighten	doctrine	ws_manga_bubble_page_grammar_reconcile_20260711	Reconciled v2.0 authored candidate; SpiritualTech agent runtime demoted to Appendix H.
BUBBLE-008	lettering_shadow	specs/manga_bubble_rendering_engine.md	stale	tighten	none	specs/LETTERING_AGENT_SPEC.md	Implementation notes may remain but must not compete as parallel law; point to LETTERING singleton.
LAYOUT-001	layout_runtime	phoenix_v4/manga/chapter/page_frame.py	partial	tighten	partial_machine	specs/MANGA_LAYOUT_AGENT_SPEC.md §4	Rectangular frame+gutter engine LIVE; docstring overclaims panel_layout_templates consumption — tighten honesty.
LAYOUT-002	layout_config	config/manga/page_grid_templates.yaml	partial	tighten	config_authority	specs/MANGA_LAYOUT_AGENT_SPEC.md §4.1	BBox library + genre profiles = baseline only; label measurements heuristic; not full reading-path grammar.
LAYOUT-003	layout_wrapper	phoenix_v4/manga/chapter/page_compose.py	aligned	keep	partial_machine	specs/MANGA_LAYOUT_AGENT_SPEC.md §0.3	Thin compose wrapper / legacy strip fallback — keep.
LAYOUT-004	layout_webtoon	phoenix_v4/manga/chapter/webtoon_compose.py	aligned	keep	partial_machine	specs/MANGA_LAYOUT_AGENT_SPEC.md §1.2	Separate vertical-scroll family with beat gutters — correct mode split vs print grids.
LAYOUT-005	layout_templates_print	config/manga/panel_layout_templates/bw_page_rtl.yaml	partial	rewire	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §1.1	Catalog/routing template; rewire producer series_plan.panel_layout_template → intended consumer page_frame/family composer (today mostly inert docs).
LAYOUT-006	layout_templates_color	config/manga/panel_layout_templates/color_page.yaml	partial	rewire	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §1.1	Catalog/routing template; rewire producer series_plan.panel_layout_template → intended consumer page_frame/family composer (color page).
LAYOUT-007	layout_templates_webtoon	config/manga/panel_layout_templates/vertical_scroll_webtoon.yaml	partial	tighten	config_authority	specs/MANGA_LAYOUT_AGENT_SPEC.md §1.2	Export constraints include technical caps; keep family separate; align consumers to webtoon_compose.
LAYOUT-008	layout_templates_selfhelp	config/manga/panel_layout_templates/self_help_illustrated.yaml	partial	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §1.3	Third format family declared; dedicated grammar/composer still missing — routing boundary only.
LAYOUT-009	layout_schema	schemas/manga/series_plan.schema.json	aligned	tighten	schema	specs/MANGA_LAYOUT_AGENT_SPEC.md §1	Format enums exist; add spread/page_role fields later without weakening current enums.
LAYOUT-010	layout_spec_doc	specs/MANGA_LAYOUT_AGENT_SPEC.md	partial	tighten	doctrine	ws_manga_bubble_page_grammar_reconcile_20260711	Reconciled v2.0; removed Production overlay-render ownership claims.
LAYOUT-011	layout_solver	phoenix_v4/manga/chapter/page_layout_solver.py	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §4	Reading-path solver with grammar primitives absent.
LAYOUT-012	layout_graph	phoenix_v4/manga/chapter/page_reading_graph.py	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §5	Explicit panel reading graph absent (list order only).
LAYOUT-013	layout_validate	phoenix_v4/manga/chapter/page_layout_validate.py	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §6 §10	Junction ambiguity + path validation absent (HR-F13 UNENFORCED).
SPREAD-001	spread_runtime	phoenix_v4/manga/chapter/spread_plan.py	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §7	Spread planner (recto/verso, page-turn, binding) absent.
SPREAD-002	spread_validate	phoenix_v4/manga/chapter/spread_validate.py	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §7	Spread safety validator absent.
SPREAD-003	spread_config	config/manga/spread_profiles.yaml	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §7	Spread profiles absent.
SPREAD-004	spread_live_geometry	phoenix_v4/manga/chapter/page_frame.py	partial	tighten	partial_machine	specs/MANGA_LAYOUT_AGENT_SPEC.md §7.2	LIVE doubles width + center_gutter_px only; do not call this a spread planner.
SPREAD-005	spread_spec_conflict	specs/MANGA_LAYOUT_AGENT_SPEC.md Appendix H	stale	supersede	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §7.2	Historical 600px center gutter superseded by LIVE 60px scaffolding + heuristic labeling; replacement authority §7.
JLREQ-001	typography_vertical	phoenix_v4/manga/chapter/cjk_text_shaper.py	partial	tighten	partial_machine	specs/LETTERING_AGENT_SPEC.md §7	Vertical CJK present; kinsoku/tate-chu-yoko/bouten matrix missing.
JLREQ-002	typography_ruby	phoenix_v4/manga/chapter/furigana_renderer.py	partial	tighten	partial_machine	specs/LETTERING_AGENT_SPEC.md §7	Furigana LIVE; ruby collision / long-ruby rules FUTURE.
JLREQ-003	typography_matrix	artifacts/qa/jlreq_lettering_matrix.md	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §7.2	Explicit JLREQ test matrix artifact not present.
SFX-001	sfx_runtime_interim	phoenix_v4/manga/chapter/bubble_render_v2.py	misleading	rewire	partial_machine	specs/LETTERING_AGENT_SPEC.md §6	SFX stamped as bubble-adjacent text; rewire producer bubble_render_v2 → intended sfx_render consumer/module.
SFX-002	sfx_plan	phoenix_v4/manga/chapter/sfx_plan.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §6	Independent SFX semantic plan absent.
SFX-003	sfx_render	phoenix_v4/manga/chapter/sfx_render.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §6	Independent SFX render absent.
SFX-004	sfx_locale	phoenix_v4/manga/chapter/sfx_localization.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §6	SFX localization policy module absent.
SFX-005	sfx_config	config/manga/sfx_styles.yaml	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §6	SFX style register absent.
BEAT-001	narrative_webtoon	phoenix_v4/manga/chapter/webtoon_compose.py	partial	tighten	partial_machine	specs/MANGA_LAYOUT_AGENT_SPEC.md §8	beat_type→gutter only; extend to full beat semantics for page family too.
BEAT-002	narrative_profiles	config/manga/narrative_beat_profiles.yaml	missing	add later	none	specs/MANGA_LAYOUT_AGENT_SPEC.md §8	Beat profile config absent.
LOCALE-001	reflow_ladder	config/manga/locale_lettering_profiles.yaml	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §9	Localization reflow ladder profiles absent; LIVE shrink-to-fit only.
GATE-001	hr_rules	artifacts/qa/MANGA_HUMAN_READABILITY_ASSEMBLY_RULES_2026-07-09.md	aligned	keep	mixed	artifacts/qa/MANGA_HUMAN_READABILITY_ASSEMBLY_RULES_2026-07-09.md	Do not weaken; HR-F08/F09/F13 remain honest UNENFORCED markers.
GATE-002	visual_qa	phoenix_v4/manga/chapter/manga_visual_qa.py	missing	add later	none	specs/LETTERING_AGENT_SPEC.md §11; specs/MANGA_LAYOUT_AGENT_SPEC.md §10	Unified machine QA harness absent; visual review remains mandatory.
RESEARCH-001	research_apr25	artifacts/research/webtoon_compositing_lettering_2026-04-25.md	stale	tighten	none	specs/LETTERING_AGENT_SPEC.md §0.3	Historical audit; fonts/vertical/webtoon gaps partly closed — do not cite as live gap list without re-verify.
RESEARCH-002	research_deep	/Users/ahjan/Downloads/deep-research-report.md	aligned	keep	none	non-repository input	External research input; heuristics only unless promoted.
RESEARCH-003	research_genre_essay	/Users/ahjan/phoenix_omega/docs/manga_word_bubbles_page_layouts.txt	partial	tighten	none	non-repository input	Untracked genre essay; treat as heuristic bias material, not hard law.
RESEARCH-004	research_operator	/Users/ahjan/.codex/attachments/c0d18864-48cb-49cd-b913-55fce257db6d/pasted-text.txt	aligned	keep	none	non-repository input	Operator architecture corrections absorbed into both singletons.
