persona,total_planned_books,bound_books,unbound_thin_books,unknown_books,bound_pct
corporate_managers,3743,0,3743,0,0.0
gen_x_sandwich,3734,0,3734,0,0.0
tech_finance_burnout,3723,0,3723,0,0.0
working_parents,3711,57,3654,0,1.5359741309620047
millennial_women_professionals,3709,175,3534,0,4.7182528983553516
gen_z_professionals,3707,111,3596,0,2.9943350418127865
entrepreneurs,3696,0,3696,0,0.0
healthcare_rns,3685,114,3571,0,3.0936227951153326
gen_alpha_students,2425,0,2425,0,0.0
first_responders,182,6,176,0,3.2967032967032965
gen_z_student,82,0,58,24,0.0
nyc_executives,2,0,2,0,0.0
educators,2,2,0,0,100.0
