topic	media_type	stock_id	local_uri	work_unit_id	model_released	property_released	layer	query	title
anxiety	image	351250623	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/351250623.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		Woman sitting on bed in cozy rustic bedroom with wooden window, reading a book i
anxiety	video	353363407	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/353363407.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		Minimalistic sunrise over calm ocean waves under a starry sky, blending soft blu
anxiety	video	354282101	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/354282101.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		Empty chair near a table in a bright room with natural light during the day
boundaries	image	350874965	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/350874965.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		A neat showcases a laptop, camera, and houseplants on a wooden table. A coffee c
boundaries	video	354718389	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/354718389.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		Gentle morning light dances through the misty forest along the winding path
burnout	image	349962701	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/349962701.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL		Rustic Wooden Bowl on Soft Textured Fabric Background
depression	image	349478795	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/349478795.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	rain window empty room soft grey	attractive young lady with large grey eyes wearing black clothes looks out window and turns to camera in room
depression	video	354856408	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/354856408.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	rain on window grey morning quiet room	Reflection of water on the floor in a dimly lit room during rain
grief	image	350614976	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/350614976.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	candle empty chair soft light	Round table covered with tablecloth and white chairs in the garden at night, small candle burning in the centre of the t
grief	video	353483009	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/353483009.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	candle soft light empty chair remembrance	Closeup Row Of Lit Candles In Dim Chapel, Match Passing Across, Warm Flickering Flames, Slender Wax Tapers, Soft Bokeh, 
hope	image	351614982	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/351614982.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	sunrise soft gold empty horizon	Plant Reeds In Wind In Sunset 5
hope	video	348577205	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/348577205.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	sunrise over calm water soft gold	Sunset on the beach - Tranquil idyllic scene of a golden sunset over the sea, waves slowly splashing on the sand. Video.
loneliness	image	350610769	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/350610769.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	single chair window soft light	Sunlit child looks at sunrise in room. Thoughtful little girl looks at nature outside window. kid rests sitting in soft 
loneliness	video	354299139	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/354299139.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	single chair by window soft light	Serene dwelling in Namibia showcasing illuminated clothcovered armchair
overthinking	image	350916336	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/350916336.jpg	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	notebook sticky notes soft desk light	Video of a young black man sitting on a chair at his desk writing notes on a sticky note than sticking the note on his c
overthinking	video	348765526	/Users/ahjan/phoenix_omega/artifacts/storyblocks_licensed/social_media_bank_storyblocks_20260720/348765526.mp4	social_media_bank_storyblocks_20260720	None	None	EXECUTED-REAL	notebook pen desk soft lamp night	Cozy workplace at home. Creative. Table, book, and lamp in front of a window.
